word,count
haben,2039
so,1685
geben,1534
sagen,1342
sehen,1244
also,1218
machen,1078
auch,1054
mensch,1048
gut,1038
jahr,1005
nur,977
dann,954
wissen,934
hier,921
denken,871
leben,868
tun,788
gehen,784
sehr,752
