word,count
so,2972
have,2933
go,2017
do,1905
person,1894
get,1539
be,1427
think,1412
know,1390
say,1364
when,1338
make,1283
now,1282
just,1254
see,1231
how,1178
thing,1157
more,1088
year,1049
time,1017
